id,name,density
26001,Alcona County,16.2
26003,Alger County,10.5
26005,Allegan County,135
26007,Alpena County,51.8
26009,Antrim County,49.6
26011,Arenac County,43.8
26013,Baraga County,9.9
26015,Barry County,107
26017,Bay County,243.7
26019,Benzie County,54.8
26021,Berrien County,276.2
26023,Branch County,89.4
26025,Calhoun County,192.8
26027,Cass County,106.7
26029,Charlevoix County,62.3
26031,Cheboygan County,36.6
26033,Chippewa County,24.7
26035,Clare County,54.8
26037,Clinton County,133.1
26039,Crawford County,25.3
26041,Delta County,31.7
26043,Dickinson County,34.4
26045,Eaton County,187.4
26047,Emmet County,69.9
26049,Genesee County,668.5
26051,Gladwin County,51.2
26053,Gogebic County,14.9
26055,Grand Traverse County,187.3
26057,Gratiot County,74.7
26059,Hillsdale County,78.1
26061,Houghton County,36.3
26063,Huron County,39.6
26065,Ingham County,505.1
26067,Ionia County,111.9
26069,Iosco County,47.1
26071,Iron County,10.1
26073,Isabella County,122.8
26075,Jackson County,228.4
26077,Kalamazoo County,445.7
26079,Kalkaska County,30.6
26081,Kent County,711.5
26083,Keweenaw County,4
26085,Lake County,20.3
26087,Lapeer County,137.4
26089,Leelanau County,62.5
26091,Lenawee County,133.3
26093,Livingston County,320.2
26095,Luce County,7.4
26097,Mackinac County,10.9
26099,Macomb County,1754.9
26101,Manistee County,45.6
26103,Marquette County,37.1
26105,Mason County,58
26107,Mecosta County,77.1
26109,Menominee County,23
26111,Midland County,162
26113,Missaukee County,26.3
26115,Monroe County,276.7
26117,Montcalm County,89.8
26119,Montmorency County,17.9
26121,Muskegon County,344.9
26123,Newaygo County,59.6
26125,Oakland County,1385.7
26127,Oceana County,51.9
26129,Ogemaw County,38.5
26131,Ontonagon County,5.2
26133,Osceola County,41.5
26135,Oscoda County,15.3
26137,Otsego County,46.9
26139,Ottawa County,468.2
26141,Presque Isle County,20.3
26143,Roscommon County,47.1
26145,Saginaw County,250.2
26147,St. Clair County,226.1
26149,St. Joseph County,122.4
26151,Sanilac County,44.8
26153,Schoolcraft County,7.2
26155,Shiawassee County,133.1
26157,Tuscola County,69.4
26159,Van Buren County,125.5
26161,Washtenaw County,488.4
26163,Wayne County,2974.4
26165,Wexford County,57.9
